Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
blaCTX_M_15,blaOXA,0.589999776,0.123378201,0.565518864,0.614480688,633.6787219,465.100215,541.3927488,725.964695
blaCTX_M_15,qnrB1,0.525747631,0.132969231,0.499363651,0.552131611,169.92682,120.5693843,146.0032384,193.8504016
blaCTX_M_15,aac6p_Ib,0.475605406,0.103142894,0.455139618,0.496071194,604.8833103,333.6589878,538.6781283,671.0884922
blaCTX_M_15,qnrB,0.459553743,0.133284478,0.433107211,0.486000275,105.5638635,59.42365238,93.7729217,117.3548054
blaCTX_M_15,dfrA1,0.328353132,0.10970523,0.306585234,0.35012103,85.57099609,45.87614471,76.46817369,94.67381849
blaCTX_M_15,sul2,0.277352857,0.102987467,0.256917909,0.297787805,19.98586735,15.24784208,16.96036468,23.01137002
blaCTX_M_15,blaTEM_1,0.272941161,0.110913558,0.250933505,0.294948817,19.38738026,14.94068678,16.42282386,22.35193666
blaCTX_M_15,aadA1,0.266271254,0.076308683,0.251129956,0.281412552,27.07291521,14.24432805,24.24653149,29.89929892
blaCTX_M_15,blaTEM,0.239839446,0.100973544,0.219804104,0.259874788,16.90664531,12.92696721,14.34165456,19.47163606
blaCTX_M_15,aph3pp_Ib,0.221066833,0.08047442,0.205098963,0.237034704,18.34786728,12.78709927,15.81062937,20.8851052
blaCTX_M_15,aph6_Id,0.217058655,0.079939189,0.201196986,0.232920325,17.2197418,9.587115839,15.31745003,19.12203358
blaCTX_M_15,qacEdelta1,0.144542741,0.046409676,0.135334055,0.153751428,10.42748275,4.578768094,9.518955827,11.33600968
blaCTX_M_15,aac6p_IIc,0.127405074,0.045350581,0.118406535,0.136403613,7.760271039,3.072838296,7.150553256,8.369988823
blaCTX_M_15,floR,0.112822042,0.048518501,0.103194919,0.122449166,6.745237814,3.422472743,6.06614497,7.424330657
blaCTX_M_15,qacE,0.110072375,0.04172051,0.10179412,0.118350629,6.944508951,3.043159529,6.340680078,7.548337823
blaCTX_M_15,blaACT_16,0.076372114,0.027364056,0.070942492,0.081801736,4.783798221,1.770462874,4.432499976,5.135096466
blaCTX_M_15,qnrB19,0.071857187,0.058798119,0.060190364,0.083524009,3.914975377,3.425535908,3.235274735,4.594676019
blaCTX_M_15,tetB,0.069645904,0.041362408,0.061438705,0.077853103,3.497906285,1.762554206,3.148177292,3.847635278
blaCTX_M_15,blaACT_57,0.058330678,0.049961737,0.048417185,0.06824417,3.06062044,2.492443561,2.566065564,3.555175316
blaCTX_M_15,sul1,0.052272476,0.023154383,0.047678144,0.056866808,2.983572557,1.620578727,2.662014579,3.305130535
blaCTX_M_15,blaACT_1,0.029757579,0.009479463,0.027876648,0.03163851,1.805028786,0.471879522,1.711397652,1.898659921
blaCTX_M_15,blaCMH,0.029003008,0.011687015,0.026684051,0.031321965,1.544288408,0.518378806,1.441430806,1.647146009
blaCTX_M_15,blaACT_17,0.027481529,0.009099819,0.025675927,0.029287131,1.480169741,0.306833764,1.419287265,1.541052216
blaCTX_M_15,aph3p_Ia,0.024064702,0.018696443,0.020354922,0.027774482,1.304867064,1.111851041,1.084251696,1.525482432
blaCTX_M_15,blaACT_74,0.023227197,0.017108599,0.01983248,0.026621914,1.16234201,0.83962694,0.995741809,1.32894221
blaCTX_M_15,qnrE,0.021353263,0.010793043,0.019211689,0.023494837,1.069992899,0.457667745,0.979181689,1.160804109
blaCTX_M_15,blaACT_24,0.021297252,0.007771054,0.019755306,0.022839197,1.074241245,0.270552751,1.02055771,1.127924781
blaCTX_M_15,blaACT_4,0.021193471,0.007789567,0.019647852,0.02273909,1.070809308,0.297522924,1.011774305,1.129844311
blaCTX_M_15,ampC,0.020858645,0.011942015,0.01848909,0.0232282,1.068432054,0.608982402,0.947596734,1.189267374
blaCTX_M_15,blaACT,0.020812832,0.006147302,0.019593074,0.02203259,1.169504545,0.240160072,1.121851576,1.217157513
blaCTX_M_15,fosA2,0.020786649,0.009631941,0.018875463,0.022697835,1.069586264,0.484874929,0.973376558,1.165795969
blaCTX_M_15,blaCMH_4,0.020506642,0.012545324,0.018017377,0.022995906,1.054996061,0.632453714,0.929503523,1.180488599
blaCTX_M_15,blaACT_3,0.02030296,0.010854932,0.018149106,0.022456814,1.038360047,0.501822468,0.938787582,1.137932512
blaCTX_M_15,blaACT_2,0.020253589,0.006818702,0.01890061,0.021606567,1.009935264,0.204255241,0.969406593,1.050463935
blaCTX_M_15,fosA,0.020218377,0.006201968,0.018987772,0.021448982,1.139510281,0.623044706,1.015884694,1.263135868
blaCTX_M_15,blaACT_6,0.020206778,0.011537194,0.017917549,0.022496008,1.029195507,0.571008647,0.915895003,1.14249601
blaCTX_M_15,blaACT_55,0.02013587,0.010440847,0.018064179,0.02220756,0.98816461,0.433304475,0.902187602,1.074141619
blaCTX_M_15,oqxB,0.02012845,0.005998942,0.01893813,0.021318771,1.044856072,0.274861921,0.990317504,1.099394641
blaCTX_M_15,oqxA,0.019988755,0.006155598,0.018767351,0.021210159,0.994899195,0.228874551,0.949485519,1.040312872
blaCTX_M_15,blaACT_23,0.019978825,0.012546518,0.017489324,0.022468327,1.016281316,0.53041881,0.911034717,1.121527916
blaCTX_M_15,blaACT_56,0.019965883,0.009662201,0.018048693,0.021883074,0.981287988,0.395389794,0.902834075,1.059741901
blaCTX_M_15,blaACT_90,0.019931194,0.019472447,0.016067438,0.02379495,1.006044932,1.067386558,0.794252282,1.217837582
blaCTX_M_15,blaACT_40,0.019910263,0.013268498,0.017277505,0.022543021,0.970354308,0.598000578,0.85169802,1.089010596
blaCTX_M_15,blaACT_45,0.019887175,0.008108622,0.018278248,0.021496101,1.039093038,0.439666374,0.951853691,1.126332386
blaCTX_M_15,blaACT_27,0.019806097,0.013615616,0.017104464,0.022507731,0.984771005,0.636771695,0.858421686,1.111120324
blaCTX_M_15,blaACT_46,0.019586338,0.019886703,0.015640384,0.023532291,1.010311227,1.036501399,0.804646863,1.215975592
blaCTX_M_15,blaACT_37,0.019548555,0.012125458,0.017142601,0.021954509,1.020654897,0.721964355,0.877401506,1.163908288
blaCTX_M_15,blaACT_9,0.01911087,0.013505547,0.016431076,0.021790663,0.950561509,0.671645631,0.817292445,1.083830574
blaCTX_M_15,blaMIR_20,0.018788295,0.016235312,0.015566857,0.022009733,0.961658543,0.792121855,0.804484381,1.118832704
blaCTX_M_15,blaACT_52,0.018655013,0.016103133,0.015459802,0.021850224,0.926707916,0.809947868,0.765996687,1.087419145
blaCTX_M_15,blaMIR_5,0.015870758,0.014175514,0.013058028,0.018683487,0.803501192,0.679681836,0.66863757,0.938364814
blaCTX_M_15,blaMIR,0.015162921,0.006106003,0.013951358,0.016374485,0.720731112,0.201731895,0.680703128,0.760759097
blaCTX_M_15,blaIMI_1,0.01489599,0.011227621,0.012668187,0.017123794,0.774732445,0.612552356,0.653188768,0.896276122
blaIMI_1,qnrE,0.10286249,0.044706396,0.093991772,0.111733209,20.93146787,56.54104335,9.712498206,32.15043754
blaIMI_1,blaMIR_20,0.067155125,0.046325348,0.057963171,0.076347079,7.011149365,6.56784691,5.707946047,8.314352682
blaIMI_1,blaMIR,0.061074701,0.02564014,0.055987141,0.066162261,35.04309442,64.11625102,22.3210392,47.76514963
