Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
tetC,aph3p_VIa,0.022332649,0.013880454,0.019578466,0.025086832,1.593575105,0.914336244,1.412150957,1.774999252
tetC,blaGES_1,0.022280686,0.012182633,0.019863387,0.024697985,1.561951796,0.710330195,1.421006875,1.702896717
tetC,aadA6,0.022180675,0.012525143,0.019695415,0.024665936,1.530611627,0.73265724,1.385236535,1.675986718
tetC,blaOXA_1035,0.0219922,0.013327214,0.019347792,0.024636609,1.535517246,0.786413857,1.379475676,1.691558817
tetC,blaPDC_19a,0.021977967,0.011063397,0.019782749,0.024173185,1.570149644,0.592172984,1.452649676,1.687649611
tetC,aac6p_33,0.021928897,0.018667923,0.018224776,0.025633018,1.614220914,1.407133411,1.335015118,1.893426711
tetC,merA,0.021918164,0.0080994,0.020311068,0.023525261,1.959134217,0.564565926,1.847112089,2.071156345
tetC,gyrA_T83I,0.021471168,0.00699794,0.020082625,0.022859711,2.256216714,0.706369278,2.116057724,2.396375703
tetC,blaPDC_35,0.021449887,0.011481752,0.019171658,0.023728116,1.523554982,0.718380567,1.381012692,1.666097272
tetC,blaGES_5,0.02117453,0.016615146,0.017877724,0.024471335,1.48832471,1.183702244,1.253452505,1.723196916
tetC,blaOXA_2,0.021040784,0.010917396,0.018874536,0.023207032,1.496610015,0.664984865,1.364662591,1.628557439
tetC,aph3p_XV,0.0205244,0.015336888,0.017481228,0.023567571,1.418823984,1.020927394,1.21624984,1.621398128
tetC,merT,0.020421824,0.006948037,0.019043182,0.021800465,1.865639319,0.424769082,1.781355918,1.94992272
tetC,blaOXA_10,0.020308947,0.007389312,0.018842747,0.021775146,1.549341359,0.363165291,1.477281486,1.621401232
tetC,merP,0.020264796,0.006675769,0.018940179,0.021589414,1.854985561,0.385316034,1.7785305,1.931440621
tetC,blaOXA_1,0.019851212,0.007637017,0.018335863,0.021366562,1.544071263,0.464744641,1.451855843,1.636286682
tetC,merE,0.019721561,0.006743153,0.018383573,0.021059549,1.645367864,0.406941916,1.564621759,1.726113969
tetC,merR,0.01962859,0.006433921,0.018351961,0.020905219,1.778399648,0.433614331,1.692361157,1.864438138
tetC,merD,0.019309017,0.006644314,0.01799064,0.020627393,1.65050948,0.370031067,1.577087288,1.723931671
tetC,blaOXA_848,0.01914692,0.0115384,0.016857451,0.021436389,1.370119772,0.777984053,1.215750857,1.524488687
tetC,blaKPC,0.018189221,0.011840931,0.015839724,0.020538719,1.322408439,0.854183129,1.152919974,1.491896903
tetC,blaOXA_914,0.018167714,0.017475079,0.014700279,0.021635148,1.292571252,1.379819516,1.018785125,1.56635738
tetC,blaPDC_24,0.018012544,0.010446812,0.01593967,0.020085418,1.368983058,0.788574982,1.212512673,1.525453443
tetC,blaOXA_1032,0.017863989,0.012206126,0.015442029,0.020285949,1.254752523,0.782740286,1.099439868,1.410065177
tetC,blaOXA_9,0.01782299,0.007853876,0.016264611,0.01938137,1.299668477,0.442731211,1.211820999,1.387515954
tetC,blaKPC_2,0.0176298,0.013413277,0.014968315,0.020291285,1.249490822,0.881669307,1.074548504,1.424433141
