Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
spw,aadE,0.203823514,0.035579487,0.115439168,0.29220786,1.563619093,0.065919956,1.399864845,1.727373341
spw,rpoB_R505K,0.106068731,0.039717769,0.007404325,0.204733138,1.54532689,0.649638314,-0.068464144,3.159117925
vanR_Cd,gyrB_S366A,0.139063979,0.031155308,0.061669904,0.216458055,1.524237047,0.039867723,1.425200134,1.623273961
blaCDD_1,blaCDD_2,0.150947501,0.008060893,0.130923133,0.170971869,1.519050753,0.054486817,1.383697995,1.654403511
blaCDD,tetM,0.221875702,0.03199441,0.142397181,0.301354223,1.515512165,0.190003206,1.043518037,1.987506294
rpoB_R505K,aad9,0.065869179,0.020773872,0.014264022,0.117474337,1.503380933,0.457911536,0.365865619,2.640896247
vanZ1,tetM,0.235286652,0.039906558,0.136153265,0.334420038,1.501629516,0.286417278,0.790129555,2.213129477
erm52,tetM,0.324502906,0.072065176,0.145483084,0.503522727,1.498468557,0.330562645,0.677305424,2.31963169
ermB,gyrB_S366A,0.165311975,0.036610168,0.074367275,0.256256675,1.498094415,0.106773452,1.232854455,1.763334375
aadE,aac6p_Ie_aph2pp_Ia,0.074848726,0.029749021,0.000948061,0.148749391,1.497313844,0.591088189,0.028969382,2.965658305
vanZ1,aac6p_Ie_aph2pp_Ia,0.059191379,0.019636682,0.010411157,0.107971602,1.49666722,0.095394222,1.259694835,1.733639605
aad9,rpoB_R505K,0.10290993,0.029444328,0.029766164,0.176053696,1.478383021,0.437191685,0.39233867,2.564427372
gyrB_I139R,blaCDD_2,0.140336473,0.012407371,0.109514856,0.17115809,1.472179757,0.141582114,1.120470288,1.823889225
blaCDD_2,aph3p_IIIa,0.036020826,0.008843283,0.014052894,0.057988757,1.470850383,0.130948138,1.145557175,1.796143591
rpoB_H502N,aph2pp_If,0.027672064,0.007486095,0.009075572,0.046268555,1.464753296,0.367021257,0.553021952,2.376484641
aph2pp_If,rpoB_H502N,0.042173887,0.019152003,-0.005402327,0.0897501,1.453880547,0.356869202,0.567368305,2.340392788
blaCDD_2,gyrB_I139R,0.174147381,0.020537467,0.123129485,0.225165277,1.453139358,0.132473489,1.124056969,1.782221747
gyrB_I139R,vanT_Cd,0.895583102,0.010904239,0.86849547,0.922670735,1.448402204,0.041619714,1.345013103,1.551791306
gyrB_I139R,vanR_Cd,0.89679129,0.012635665,0.865402558,0.928180022,1.445267511,0.040292312,1.345175858,1.545359163
gyrB_I139R,vanG,0.888538768,0.006226289,0.87307181,0.904005727,1.434851714,0.045669828,1.321401573,1.548301856
blaCDD_2,vanS_Cd,0.886465581,0.012785354,0.854705002,0.918226161,1.426832352,0.058013521,1.282718778,1.570945927
gyrB_S366A,ermB,0.297288674,0.023815149,0.238128565,0.356448783,1.420967105,0.0989356,1.17519745,1.66673676
