Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
vanY_B,vanH_B,0.895147856,0.05889046,0.883462711,0.906833001,707.6642025,246.696735,658.7142181,756.6141868
vanH_D,vanX_D,0.858982302,0.040632265,0.850919979,0.867044625,701.9140943,490.9192048,604.5050735,799.3231151
vanD,vanH_D,0.849336175,0.072890736,0.834873072,0.863799279,697.7082824,327.4781372,632.7295153,762.6870495
vanD,vanX_D,0.850988269,0.06099158,0.838886216,0.863090322,685.0386695,270.6025644,631.3452499,738.732089
vanR_D,vanS_D,0.880691831,0.062252635,0.868339557,0.893044104,682.3661402,250.573912,632.6468398,732.0854406
vanB,vanH_B,0.879097285,0.056399609,0.867906379,0.890288191,676.933968,263.5413183,624.6416529,729.2262831
vanW_B,vanB,0.897789068,0.048030556,0.888258764,0.907319373,670.8325906,367.5913204,597.8944977,743.7706835
vanW_B,vanH_B,0.898696158,0.054239513,0.887933862,0.909458454,592.3770879,247.127265,543.3416771,641.4124987
vanH_D,vanS_D,0.854968825,0.065383029,0.841995414,0.867942237,586.956909,206.8814467,545.9071416,628.0066763
lsaE,spw,0.967227652,0.024543358,0.962357717,0.972097587,582.5786028,253.8730907,532.2046738,632.9525318
vanD,vanS_D,0.852549584,0.065961931,0.839461306,0.865637862,582.2493602,216.8359432,539.2244048,625.2743156
vanX_B,vanS_B,0.953097258,0.02912463,0.9473183,0.958876217,571.6934542,269.9288182,518.1337205,625.2531878
vanX_B,vanR_B,0.95352437,0.02510735,0.948542527,0.958506213,564.5922761,210.8201364,522.7609873,606.423565
sat4,ant6_Ia,0.767216539,0.055231756,0.75625736,0.778175718,560.5994709,565.3853828,448.4147448,672.784197
vanX_B,vanY_B,0.951153652,0.027000223,0.945796222,0.956511082,555.9868407,250.7415533,506.2342767,605.7394048
arsD2,arsA,0.640119919,0.075859761,0.625067697,0.655172142,546.4629185,299.3794845,487.0595337,605.8663034
vanX_B,vanB,0.949815678,0.031530795,0.943559284,0.956072072,520.9406813,206.2337171,480.0194375,561.861925
spw,lnuB,0.98331552,0.008349643,0.98165877,0.984972271,473.4717623,383.1045611,397.4555059,549.4880188
vanX_B,vanH_B,0.946745941,0.031448303,0.940505915,0.952985966,469.6340729,197.6805832,430.4099565,508.8581894
arsR,arsB,0.761122279,0.074820751,0.746276218,0.775968339,464.5369037,955.9742748,274.8508676,654.2229399
lsaE,lnuB,0.990214434,0.008136564,0.988599963,0.991828905,462.4182564,141.8721984,434.2677343,490.5687785
ant9_Ia,optrA,0.671846569,0.090338543,0.653921442,0.689771696,434.9874992,646.173417,306.7726744,563.202324
arsD,arsA,0.758605973,0.063812459,0.745944197,0.771267749,425.1425592,349.6782238,355.7588133,494.5263051
