Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
sul1,merT,0.948496165,0.03412203,0.941725614,0.955266716,230.0656351,82.22063198,213.7512779,246.3799922
qacEdelta1,merP,0.94831155,0.03490906,0.941384835,0.955238265,237.5671836,89.30271744,219.8475871,255.2867802
qacEdelta1,merR,0.948021332,0.03495645,0.941085214,0.95495745,232.4619839,75.45179899,217.4907101,247.4332578
qacEdelta1,merT,0.947915454,0.036109374,0.94075057,0.955080337,233.4606326,83.16345576,216.9591988,249.9620665
dfrA7,merP,0.947728937,0.036566868,0.940473277,0.954984597,235.4572921,89.65308991,217.6681741,253.2464102
sul1,merP,0.947579409,0.035348323,0.940565535,0.954593284,241.2667335,94.16313561,222.5827245,259.9507425
dfrA7,merC,0.947574392,0.037232054,0.940186744,0.954962039,243.6090226,91.76535203,225.4007859,261.8172593
dfrA7,merT,0.947489255,0.035531462,0.940439042,0.954539468,233.7960885,81.60258199,217.6043658,249.9878111
sul1,merR,0.947488925,0.034862262,0.940571496,0.954406354,238.621543,84.7169455,221.8118631,255.431223
qacEdelta1,merC,0.947377762,0.037386797,0.93995941,0.954796113,231.2739703,78.7312629,215.6519796,246.8959609
dfrA7,merR,0.947375364,0.03622673,0.940187194,0.954563533,230.6126814,84.93210786,213.7603086,247.4650543
merP,aph6_Id,0.945987597,0.024274243,0.941171061,0.950804134,12.13440701,3.119019419,11.51552589,12.75328813
merR,aph6_Id,0.945614621,0.024976406,0.94065876,0.950570482,12.07538549,3.022315929,11.47569244,12.67507854
merC,aph6_Id,0.945015922,0.0257104,0.939914421,0.950117423,12.13226071,3.291248103,11.47920569,12.78531574
merC,blaTEM,0.944883713,0.035240163,0.9378913,0.951876126,13.49538215,4.321261131,12.63795019,14.35281411
merT,aph6_Id,0.944400821,0.025952201,0.939251342,0.949550301,12.23434802,3.272887961,11.58493604,12.88376
blaTEM,aph6_Id,0.943590374,0.015543066,0.940506293,0.946674456,74.83679341,47.35837911,65.43986354,84.23372327
merC,sul2,0.942687737,0.028051411,0.937121729,0.948253746,11.9450094,3.123307932,11.32527735,12.56474145
blaTEM_1,blaTEM,0.941994703,0.043129301,0.933436913,0.950552492,182.2353172,67.27535831,168.8864266,195.5842079
merR,sul2,0.941834852,0.027509919,0.936376287,0.947293417,11.8314965,3.057251051,11.22487156,12.43812143
merT,sul2,0.941750957,0.028059341,0.936183375,0.947318539,11.88549329,3.020931435,11.28607495,12.48491162
merP,sul2,0.941204728,0.028088351,0.93563139,0.946778067,11.8763674,3.051247524,11.2709337,12.48180111
merP,aph3pp_Ib,0.938967444,0.029501366,0.933113733,0.944821155,12.04679978,3.374052872,11.37731449,12.71628507
