Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
qacE,aac3_IId,0.242921555,0.060255984,0.230965461,0.25487765,3.376876418,0.889760306,3.200328669,3.553424166
qacE,gyrA_S83F,0.241114009,0.025905283,0.235973839,0.246254179,3.947598223,0.495033785,3.849372781,4.045823666
qacE,msrE,0.240903365,0.086254516,0.223788598,0.258018132,3.311280737,1.258691979,3.061528941,3.561032533
qacE,mcr_1,0.239389565,0.160540182,0.20753491,0.27124422,3.302097096,2.317699684,2.842215196,3.761978996
qacE,mphE,0.228667538,0.090414084,0.210727422,0.246607654,3.12920779,1.237062669,2.883747719,3.374667862
qacE,gyrA_D87N,0.217493364,0.031194252,0.211303748,0.223682981,3.351198627,0.581018447,3.235911962,3.466485292
qacE,bleO,0.215910454,0.070698703,0.201882298,0.229938611,2.94970018,0.985955917,2.754065136,3.145335224
qacE,ble,0.213704568,0.052135577,0.203359738,0.224049397,2.975138925,0.853428244,2.805800246,3.144477604
qacE,grdA,0.206145931,0.12069485,0.182197454,0.230094408,2.820816885,1.721787332,2.479176924,3.162456846
qacE,merT,0.203149105,0.02740616,0.197711128,0.208587082,3.355516447,0.523851596,3.251572925,3.459459969
qacE,merR,0.202106294,0.027225026,0.196704258,0.20750833,3.325923284,0.500842925,3.226545182,3.425301387
qacE,parC_S80R,0.201312628,0.045087231,0.192366343,0.210258913,2.846255788,0.660744894,2.715149666,2.97736191
qacE,merC,0.199441817,0.028905078,0.193706422,0.205177211,3.215653479,0.496931261,3.117051536,3.314255423
qacE,mcr_9_1,0.199357797,0.071689101,0.185133124,0.21358247,2.711629871,0.97450151,2.51826763,2.904992113
qacE,merP,0.19173882,0.02713936,0.186353782,0.197123858,3.07223955,0.466886756,2.979599088,3.164880011
qacE,rmtB1,0.190120221,0.176905371,0.155018357,0.225222084,2.593640518,2.476204001,2.102307923,3.084973114
qacE,fosA7_4,0.178144855,0.102151089,0.157875862,0.198413847,2.412389875,1.374179323,2.139722884,2.685056866
qacE,tetA,0.1780066,0.021137496,0.173812462,0.182200738,2.651306014,0.399680854,2.572000662,2.730611367
qacE,blaCTX_M_65,0.164527813,0.046719773,0.155257597,0.17379803,2.251995814,0.666829876,2.119682299,2.384309328
qacE,sul2,0.149083778,0.020595206,0.144997242,0.153170313,2.227851952,0.302653407,2.16779895,2.287904954
qacE,fosA3,0.142271285,0.073143403,0.127758047,0.156784523,1.94039841,1.013632475,1.739271736,2.141525084
qacE,aph6_Id,0.133170548,0.014701625,0.130253427,0.13608767,2.017605749,0.237637078,1.970453397,2.064758101
qacE,aph3pp_Ib,0.131016537,0.015146262,0.12801119,0.134021884,1.969824421,0.231371457,1.923915304,2.015733538
qacE,gyrA_S83Y,0.121696659,0.023855201,0.11696327,0.126430049,1.667046951,0.327607213,1.602042573,1.73205133
qacE,aph3p_IIa,0.11853371,0.068263816,0.104988688,0.132078732,1.603676778,0.901244141,1.424850388,1.782503168
qacE,blaCTX_M_14,0.101849664,0.064348653,0.089081496,0.114617833,1.375274742,0.838567399,1.208884777,1.541664707
qacE,blaCMY,0.096548389,0.031375494,0.09032281,0.102773967,1.318126444,0.429209646,1.232961939,1.40329095
qacE,blaCTX_M,0.092624758,0.020760707,0.088505384,0.096744133,1.27016311,0.274198812,1.215756116,1.324570103
qacE,silS,0.08763999,0.012115352,0.085236041,0.090043939,1.218483481,0.148616784,1.188994686,1.247972275
qacE,silC,0.086844147,0.011328541,0.084596318,0.089091975,1.213477053,0.149803334,1.183752822,1.243201285
qacE,silP,0.086515712,0.011851233,0.08416417,0.088867254,1.197742873,0.150872445,1.167806507,1.227679239
qacE,silB,0.086351368,0.011102619,0.084148367,0.088554368,1.195625266,0.138673634,1.168109408,1.223141123
qacE,silF,0.086334359,0.011498881,0.084052732,0.088615987,1.197887319,0.139992308,1.170109808,1.22566483
qacE,silA,0.085358848,0.011091394,0.083158074,0.087559621,1.186454672,0.135072963,1.159653266,1.213256079
qacE,silR,0.085257664,0.011642537,0.082947532,0.087567796,1.187780234,0.152408339,1.157539113,1.218021355
qacE,silE,0.084869107,0.011293084,0.082628314,0.0871099,1.178671772,0.148715548,1.149163381,1.208180163
qacE,fosA7_7,0.083569348,0.029662645,0.077683636,0.08945506,1.124322553,0.382320927,1.048461787,1.20018332
qacE,tetB,0.083270584,0.014097542,0.080473325,0.086067842,1.138678039,0.193536179,1.100276262,1.177079816
qacE,blaCTX_M_15,0.080987369,0.063488139,0.068389945,0.093584794,1.106656258,0.879988627,0.932047423,1.281265093
qacE,blaTEM,0.080096961,0.011037582,0.077906865,0.082287056,1.097740604,0.142248038,1.069515507,1.125965701
qacE,arsC,0.077497483,0.009496607,0.07561315,0.079381816,1.059978346,0.132358579,1.033715532,1.086241159
qacE,qnrS1,0.076077367,0.025554521,0.071006795,0.081147938,1.027369388,0.34131915,0.959644264,1.095094513
