Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
msrD,tetM,0.184269505,0.023108589,0.17968426,0.188854751,0.997603702,0.041590648,0.989351216,1.005856189
mefA,tetM,0.183624345,0.02470276,0.178722782,0.188525909,0.988889239,0.048935852,0.979179305,0.998599174
msrD,pbp1a,0.165981186,0.047065548,0.156642361,0.175320012,0.888995574,0.282217268,0.832997546,0.944993603
mefA,pbp1a,0.165030651,0.049047278,0.155298607,0.174762695,0.880777967,0.296643744,0.821917412,0.939638521
catA,pbp1a,0.106257934,0.02072096,0.102146446,0.110369422,1.024028735,0.085700626,1.007023871,1.041033599
catA,pbp2x,0.103656992,0.017977552,0.100089855,0.107224128,0.991679308,0.057346429,0.980300532,1.003058083
aph3p_IIIa,catA,0.092077524,0.048616978,0.08243086,0.101724187,6.669536188,5.644187099,5.549607016,7.789465361
catA,pbp2b,0.091181533,0.017217602,0.087765187,0.094597878,0.815637132,0.104182024,0.794965159,0.836309106
mefA,catA,0.07187838,0.04847204,0.062260476,0.081496284,0.37110806,0.260559399,0.319407423,0.422808698
msrD,catA,0.068991161,0.05198508,0.058676194,0.079306129,0.355361751,0.276044581,0.300588517,0.410134985
aph3p_IIIa,mefA,0.053358474,0.032684677,0.046873125,0.059843823,5.225246781,10.24908223,3.191606512,7.25888705
aph3p_IIIa,msrD,0.050803188,0.03213955,0.044426004,0.057180372,4.224930798,6.420268631,2.951010213,5.498851383
catA,mefA,0.039839551,0.026474199,0.034586495,0.045092606,0.356205269,0.270790479,0.302474563,0.409935975
catA,msrD,0.036632254,0.026730355,0.031328372,0.041936136,0.324854863,0.25908838,0.273446108,0.376263619
aph3p_IIIa,pbp2b,0.031585791,0.013090015,0.028988448,0.034183134,1.607039478,0.8373856,1.440884007,1.773194948
aph3p_IIIa,pbp2x,0.025925322,0.010075897,0.023926045,0.027924598,0.995441854,0.158572315,0.963977667,1.026906042
aph3p_IIIa,ermB,0.025884885,0.010118897,0.023877076,0.027892694,1.010217712,0.19413537,0.971697043,1.048738382
aph3p_IIIa,pbp1a,0.024808895,0.010240173,0.022777023,0.026840768,0.952862577,0.211650396,0.910866546,0.994858607
aph3p_IIIa,tetM,0.018603712,0.007233061,0.017168516,0.020038908,0.75548092,0.639953603,0.628500242,0.882461599
